author,count(followers)
AH_VERONIKI,1148
ARKHIPOVICHIVNA,531
BAOBAEHAM,6164
BELIKOVA_LOVE,540
BGARNER2107,4552
4EVER1937,1594
AFEELIUTR,1392
BEETTYBECKS,165
4EVER_SUSAN,63
AYANNA__0,92
ADRIANAMFTTT,99
ALTMANCOON,497
AANTIRACIST,1252
ADNNELSTR,6363
AMYYTHOSSMA,6
ARTEMSSFE,1857
AHMADHUSSEINII,187
AIDEN7757,3142
ACAPARELLA,570
ANDYDREWDANIELS,1852
ARTYRTOLSTOV,635
1ERIK_LEE,2
ABIGAILCALLME,70
ARTEMBOGACHENKO,1
ALESISTRTT,6
ALINALINKI_,531
ARIANNA_PER_RY,28
ARKHIPOVTIOVEOF,243
BIZYKOVAANITA,547
AHOGAN_AM,61
ANAAISLEC,2535
ARIELLE_BROWNIN,80
BERRNICTRR,182
ATLANTA_ONLINE,8499
ABU_UBAIDA2,1
ACTIVEMIKR,1
BECKRALFBECK265,278
ADLEESTTT,3
ALDRICH420,3495
BATONROUGEVOICE,10758
AAATEST1234,1
ARINA_RONDAL,519
BIGSEANBEAST,4584
ANATOLRMNFF,7
ANDREJFROLOV69,1
ANIIANTRS,5504
ANISSNOVOTR,158
10_GOP,372
BEEATRWL,2128
BILLMCINTOSHH,8
ANDY_PUCHINSKYI,11
ANN_HANAH,70
ANTYSHEVALIDA,515
AMALIAHULICK,5
ANDRIYCCCP,507
ANGELABACH991,240
ARONS_KWENDE,514
BARELY_KIM,33
AAAVADAKEDAVRAA,544
AMIRAFERRR,22
ANDREWHEDDD,48
ARM_2_ALAN,14721
ABIISSROSB,761
AESPARZZA,9
AGNESSTRYT,6
BELOZEROVNIKIT,140
BIZGOD,12156
BLACKTIVISTSUS,117
ADELIINESTRT,7
ANDREBAKIN,499
ALEXBORONIN,55
ANETTANOVGOROD,358
ABISADMASST,7
ARIEENSLPE,965
BLAMEYOURRSELF,14
ADKEZLATE,88
ADRI_LOW_R,53
ARMEDFREJYA,6
BLAKERIVERAI,6
BLACKGIRLS2017,7
BLACNEIGHBOR,1264
ANGELINADARCY_,490
AHMADYUSUFF03,260
ALBUQUERQUEON,2835
ALENAZELDINA,497
AMANDAVGREEN,4343
ANNIEISBEAR,190
ARABMTR,2334
ARIELSHINING,93
ARCHIEOLIVERS,2228
BAYOFTAMARA,56
BENJAMINBALLL,96
ALEXXDRTRR,3286
ANDRUNINVANYA,19
ANTHONYWOODBOY,93
BLACKNEWSOUTLET,2485
AGNESGRHM,158
AHMADRADJAB,109
ADDIE_HOL,149
ALINANOVIKOV022,508
BBHELGESON,66
ANORAVERD,536
ABBYLOPTRT,3
ABMERRLINS,531
AMBBERTHTT,152
BEKOSV,536
BEREZINLECURACE,229
ANG__BOWERS,34
BARBARAFORTRUMP,312
BARBARAMEER,45
BERKHOFF85,3068
ANISACRRUTR,578
ANGEELISHET,81
BIGBOYSNEED,1434
ARTHCLAUDIA,103
ANASTASIAR777,498
AMYMUSICLL,49
ARTKORCHUNOV,7
BERT_HENLEY,105
BERTHADAVIDSON_,23
BLACKYCLEVELAND,74
ANITABR1994,38
BABCHENKOVA_EVA,60
BATASHEVSEREGA,21
BALLLLWALT,21
AFONIA_ZHILCOV,433
ALEXSVLADIMIROV,974
ANYA_ISA1282,552
1D_NICOLE_,44
ANEELSSTRT,3
ALEMICHLESS,3
BLACKTIVISTS,984
ADALESTRTM,3
ALMOSTSAINTGIRL,93
ANTONINAPERVAY,271
AFIFYAMIRA1,82
ANNY_DUBI,536
ARTEMMPLOTNIKOV,419
AMYGRABMYESSAY,339
ANDROFAG,22
ANFISAMICKEY,455
ASYAARRIVE,973
ANCARICTRS,273
BADR_EARABI,2
ARYANNAJ0NES,8
BLACKMATTERSUS,4142
6DRUZ,832
ARISGRAYS,429
ASHLEY_KRI,47
BAMMBJOLTR,285
ALEX___ANT,66
ANN__BOGDANOVA,489
ADRIASNSS,330
AMERICANALBERT,416
BANTTANANTTA,1376
BIBAHACH,40
ANOSSOVV,682
APRRILSBRUSS,856
ASDIQARUSSIYA,18
BETTERTHANYOU_U,33
BLACKUNITYMARCH,3
AN_N_GASTON,107
BALLDOMER,18
BATMAN_BANE,274
ANASTASSITR,293
BEN_SAR_GENT,108
ANDEYNESTEROV,200
ANGELOENOUGH,33
BATAEEV,8
BARELYBARBOZA,165
459JISALGE,1
ALIZASSHIELD,80
BEAUTYUSER,550
AFRICAVSERDCE,442
ALLBERRTOSS,962
